OBJECTID,COD_ID,DIST,FAS_CON,SIT_ATIV,TIP_UNID,POT_NOM,PAC_1,PAC_2,CTMT,UNI_TR_S,SUB,CONJ,MUN,DAT_CON,BANC,POS,DESCR,ARE_LOC
"16","12875584","6600",ABC,AT,"10","18",CJZ12875609, ,"17067277","207357388","12873431","13695","2503704",01/01/1920,"0",PD, ,UB
"17","12876033","6600",ABC,AT,"10","18",12876059CPX, ,"51696840","478519228","12873414","13696","2507507",01/01/1920,"0",PD, ,UB
"18","12876034","6600",ABC,AT,"10","18",96902765CPX, ,"51696843","408887586","12873414","13696","2507507",01/01/1920,"0",PD, ,UB
"19","12876213","6600",ABC,AT,"10","18",CRI12876255, ,"51696847","12876211","12873478","15802","2507507",01/01/1920,"0",PD, ,UB
"20","12876367","6600",ABC,AT,"10","18",CTR12876395, ,"17067300","12876369","12873425","13699","2504306",01/01/1920,"0",PD, ,UB
"21","12876368","6600",ABC,AT,"10","14",CTR91067189, ,"17067300","12876369","12873425","13699","2504306",01/01/1920,"0",PD, ,UB
"22","12876497","6600",ABC,AT,"10","18",DIN98989598, ,"102158557","100660148","12873456","15804","2505709",01/01/1920,"0",PD, ,NU
"23","12876671","6600",ABC,AT,"10","14",DST210281501, ,"51696853","12876669","12873479","13701","2507507",01/01/1920,"0",PD, ,UB
"24","12876672","6600",ABC,AT,"10","14",DST499830268, ,"51696853","12876669","12873479","13701","2507507",01/01/1920,"0",PD, ,UB
"25","12876821","6600",ABC,AT,"10","14",ESP99062609, ,"26260914","12876823","12873459","13702","2506004",01/01/1920,"0",PD, ,UB
"26","12876965","6600",ABC,AT,"10","18",GBA201740766, ,"26260944","12874110","12873454","15805","2506301",01/01/1920,"0",PD, ,UB
"27","12876966","6600",ABC,AT,"10","14",GBA201740710, ,"26260944","12874110","12873454","15805","2506301",01/01/1920,"0",PD, ,UB
"28","12877175","6600",ABC,AT,"10","12",IBR273725347, ,"387937142","12877171","12873436","13704","2506608",01/01/1920,"0",PD, ,UB
"29","24396572","6600",ABC,AT,"10","6",84307968926707145MT, ,"26260933","100660148","12912332","13685","2505352",01/01/1920,"1",PD, ,NU
"30","24396574","6600",ABC,AT,"10","10",78328186922068593MT, ,"245932952","481426104","245930311","16187","2516102",01/01/1920,"1",PD, ,NU
"31","24396575","6600",ABC,AT,"10","10",78648421924120249MT, ,"26260927","12913257","12912336","13726","2515401",01/01/1920,"1",PD, ,NU
"32","24396577","6600",ABC,AT,"10","6",76547319917762478MT, ,"26260920","12911066","12873451","13733","2514008",01/01/1920,"1",PD, ,NU
"33","24396580","6600",ABC,AT,"10","6",74265464912950406MT, ,"26260955","12913075","12912333","13716","2503902",01/01/1920,"1",PD, ,NU
"34","24396584","6600",ABC,AT,"10","6",83656619921601446MT, ,"26260914","12876823","12873459","13702","2509503",01/01/1920,"1",PD, ,NU
"35","29916765","6600",ABC,AT,"10","18",PLU29916818, ,"305475184","29916767","12873452","16190","2511608",01/01/1920,"0",PD, ,NU
"36","35864488","6600",ABC,AT,"10","14",BVA35864359, ,"179871370","397830518","35863491","13722","2502151",01/01/1920,"0",PD, ,NU
"37","46741339","6600",ABC,AT,"10","6",95784492921108190MT, ,"51696842","408887586","12873414","13696","2507507",01/01/1920,"1",PD, ,UB
"38","46741343","6600",ABC,AT,"10","6",95129681921066775MT, ,"434071876","441247717","422267667","13705","2501807",01/01/1920,"1",PD, ,UB
"39","46741352","6600",ABC,AT,"10","10",90032703926080546MT, ,"51696868","12907964","12873449","15801","2508208",01/01/1920,"1",PD, ,UB
"40","46741354","6600",ABC,AT,"10","10",95678132922866158MT, ,"51696881","12908796","12873485","13712","2508604",01/01/1920,"1",PD, ,UB
"41","46741357","6600",ABC,AT,"10","6",95268362920759445MT, ,"51696858","12877470","12873416","13705","2507507",01/01/1920,"1",PD, ,UB
"42","46741371","6600",ABC,AT,"10","6",94358298921004667MT, ,"51696942","34820744","12873417","13738","2513703",01/01/1920,"1",PD, ,UB
"43","99973215","6600",ABC,AT,"10","14",99973192SJC, ,"26260921","12911066","12873451","13733","2514008",01/01/1920,"0",PD, ,UB
"44","145708628","6600",ABC,AT,"10","14",POC145708729, ,"184385076","478016685","58561573","13722","2512002",01/01/1920,"0",PD, ,NU
"45","245930546","6600",ABC,AT,"10","14",SLD245930549, ,"245932952","481426104","245930311","16187","2516102",01/01/1920,"0",PD, ,NU
"46","266648851","6600",ABC,AT,"10","5",92511622926172611MT, ,"51696885","12875414","12912337","15806","2508901",09/03/2017,"1",PD, ,NU
"47","266648889","6600",ABC,AT,"10","5",92548457925261387MT, ,"384872401","12875414","12912337","15806","2508901",09/03/2017,"1",PD, ,NU
"48","401690842","6600",ABC,AT,"10","14",401690829ITA, ,"51696865","12876668","12873419","13706","2506905",21/12/2018,"0",PD, ,UB
"49","441247441","6600",ABC,AT,"10","14",BYX441247459, ,"434071877","441247717","422267667","13738","2501807",05/12/2019,"0",PD, ,UB
"50","441247701","6600",ABC,AT,"10","14",BYX441247415, ,"434071877","441247717","422267667","13738","2501807",05/12/2019,"0",PD, ,UB
"51","450831364","6600",ABC,AT,"10","14",LCN450831363, ,"51696883","12908796","12873485","13712","2508604",19/12/2019,"0",PD, ,NU
"52","454163530","6600",ABC,AT,"10","14",BSA454163499, ,"51696817","12874812","12873418","13690","2503209",01/01/1920,"0",PD, ,UB
"53","493827269","6600",ABC,AT,"10","14",493827208APL, ,"501354570","493827263","476234715","15808","2507507",28/11/2020,"0",PD, ,UB
"54","493827270","6600",ABC,AT,"10","14",493827209APL, ,"501354570","493827263","476234715","15808","2507507",28/11/2020,"0",PD, ,UB
"55","496403731","6600",ABC,AT,"10","18",CRI503102261, ,"51696968","496404150","12873478","15802","2507507",18/12/2020,"0",PD, ,UB
"56","12877468","6600",ABC,AT,"10","18",ILB262685496, ,"51696858","12877470","12873416","13705","2507507",01/01/1920,"0",PD, ,UB
"57","12911291","6600",ABC,AT,"10","18",SPE12911316, ,"51696935","13607733","12873413","13736","2515302",01/01/1920,"0",PD, ,UB
"58","12911403","6600",ABC,AT,"10","12",SPX90990224, ,"17067436","12911405","12873435","13737","2500700",01/01/1920,"0",PD, ,UB
"59","12911670","6600",ABC,AT,"10","17",STR34820598, ,"51696943","34820744","12873417","13738","2513703",01/01/1920,"0",PD, ,UB
"60","12911671","6600",ABC,AT,"10","17",STR34820663, ,"51696945","12911647","12873417","13738","2513703",01/01/1920,"0",PD, ,UB
"61","12911919","6600",ABC,AT,"10","18",SZA12911930, ,"17067446","12911922","12873440","13739","2516201",01/01/1920,"0",PD, ,UB
"62","12911920","6600",ABC,AT,"10","18",12911920SZA-1, ,"17067446","12911922","12873440","13739","2516201",01/01/1920,"0",PD, ,UB
"63","12912140","6600",ABC,AT,"10","14",TBU62830291, ,"51696955","12912144","12873412","13741","2507507",01/01/1920,"0",PD, ,UB
"64","12912141","6600",ABC,AT,"10","14",TBU62830231, ,"51696955","12912144","12873412","13741","2507507",01/01/1920,"0",PD, ,UB
"65","12912142","6600",ABC,AT,"10","16",TBU62830281, ,"51696954","12912145","12873412","13741","2507507",01/01/1920,"0",PD, ,UB
"66","12912293","6600",ABC,AT,"10","14",TXR12912315, ,"17067458","12912294","12873427","13742","2516706",01/01/1920,"0",PD, ,UB
